CURRUCUCU SUCURSAL EL REFUGIO. 137DS8GA3HCR,
Ventas a Domicilio,
"Exportación de tabla de sumatoria de datos de Ventas a Domicilio desde 0:00 AM, sábado 12 de julio de 2025 hasta 0:00 AM, lunes 13 de julio de 2026",
"Fecha de exportación: 2:54 PM, miércoles 15 de julio de 2026",
Concepto,Importe o porcentaje
Importe total,"$3,266,069.80"
Alimentos,"≈$3,124,117.80"
Bebidas,≈$0.00
Otros,"≈$199,997.00"
Cortesías en Ventas,"$57,620.00"
Cortesías en Productos,$0.00
Importe tras comisión,"$3,266,069.80"
Importe promedio tras comisión,$364.39
Número de cuentas,8963
Currucucu Cocina Artesanal - El Refugio: 743,"$64,668.00"
Ordene y recoja: 6957,"$2,662,944.55"
Envío Propio: 841,"$242,831.75"
Rappi: 300,$80.00
Uber Eats: 122,"$20,620.00"
