CURRUCUCU ZIBATA. 8D2PL9LSNTMG,
Ventas a Domicilio,
"Exportación de tabla de sumatoria de datos de Ventas a Domicilio desde 8:00 AM, sábado 12 de julio de 2025 hasta 8:00 AM, lunes 13 de julio de 2026",
"Fecha de exportación: 9:30 AM, miércoles 15 de julio de 2026",
Concepto,Importe o porcentaje
Importe total,"$3,122,384.37"
Alimentos,"≈$2,630,972.52"
Bebidas,≈$0.00
Otros,"≈$593,905.50"
Cortesías en Ventas,"$102,493.65"
Cortesías en Productos,$0.00
Importe tras comisión,"$3,122,384.37"
Importe promedio tras comisión,$307.29
Número de cuentas,10161
Uber - Currucucú Cocina Artesanal Mexicana - Sucursal Zibatá: 981,"$85,851.50"
Rappi - Currucucú Cocina Artesanal Zibatá: 1069,"$67,126.00"
Envío Propio: 1200,"$445,600.85"
Ordene y recoja: 6911,"$2,029,259.02"
